id,team,first_name,second_name,web_name,element_type,squad_number,photo
181,8,João,Virgínia,Virgínia,1,,222627.jpg
481,8,Asmir,Begović,Begović,1,,40349.jpg
482,8,Andros,Townsend,Townsend,3,,60252.jpg
484,8,Demarai,Gray,Gray,3,,172632.jpg
502,8,Jonjoe,Kenny,Kenny,2,,153673.jpg
503,8,Anthony,Gordon,Gordon,3,,232826.jpg
504,8,Jean-Philippe,Gbamin,Gbamin,3,,160987.jpg
544,8,Jarrad,Branthwaite,Branthwaite,2,,480455.jpg
545,8,Nathan,Broadhead,Broadhead,4,,173818.jpg
564,8,Moise,Kean,Kean,4,,242058.jpg
570,8,Niels,Nkounkou,Nkounkou,2,,495542.jpg
571,8,Andy,Lonergan,Lonergan,1,,11948.jpg
591,8,Salomón,Rondón,Rondón,4,,57134.jpg
602,8,Ellis,Simms,Simms,4,,218997.jpg
607,8,Lewis,Dobbin,Dobbin,4,,461421.jpg
613,8,Charlie,Whitaker,Whitaker,3,,491556.jpg
616,8,Harry,Tyrer,Tyrer,1,,447325.jpg
622,8,Cenk,Tosun,Tosun,4,,66838.jpg
623,8,Reece,Welch,Welch,2,,474907.jpg
200,9,Kasper,Schmeichel,Schmeichel,1,,17745.jpg
201,9,Jonny,Evans,Evans,2,,37642.jpg
202,9,Marc,Albrighton,Albrighton,3,,51938.jpg
203,9,Nampalys,Mendy,Mendy,3,,86881.jpg
204,9,Danny,Ward,Ward,1,,95463.jpg
205,9,Jamie,Vardy,Vardy,4,,101668.jpg
206,9,Dennis,Praet,Praet,3,,106837.jpg
207,9,Ricardo Domingos,Barbosa Pereira,Pereira,2,,111931.jpg
208,9,Daniel,Amartey,Amartey,2,,155569.jpg
209,9,Timothy,Castagne,Castagne,2,,166477.jpg
210,9,Youri,Tielemans,Tielemans,3,,166989.jpg
211,9,Ayoze,Pérez,Pérez,3,,168580.jpg
212,9,James,Maddison,Maddison,3,,172780.jpg
213,9,Kelechi,Iheanacho,Iheanacho,4,,173515.jpg
214,9,Hamza,Choudhury,Choudhury,3,,197469.jpg
215,9,Harvey,Barnes,Barnes,3,,201666.jpg
216,9,Wilfred,Ndidi,Ndidi,3,,203341.jpg
217,9,Çaglar,Söyüncü,Söyüncü,2,,218031.jpg
218,9,James,Justin,Justin,2,,220627.jpg
219,9,Luke,Thomas,Thomas,2,,244619.jpg
220,9,Wesley,Fofana,Fofana,2,,444463.jpg
340,9,Jannik,Vestergaard,Vestergaard,2,,93100.jpg
455,9,Patson,Daka,Daka,4,,245419.jpg
458,9,Boubakary,Soumaré,Soumaré,3,,225902.jpg
473,9,Ryan,Bertrand,Bertrand,2,,40146.jpg
505,9,Kiernan,Dewsbury-Hall,Dewsbury-Hall,3,,215413.jpg
573,9,Eldin,Jakupovic,Jakupovic,1,,11974.jpg
587,9,Ademola,Lookman,Lookman,3,,219352.jpg
182,10,Pablo,Hernández Domínguez,Hernández,3,,28690.jpg
183,10,Francisco,Casilla Cortés,Casilla,1,,39790.jpg
184,10,Liam,Cooper,Cooper,2,,55914.jpg
185,10,Luke,Ayling,Ayling,2,,66588.jpg
186,10,Mateusz,Klich,Klich,3,,72222.jpg
187,10,Rodrigo,Moreno,Rodrigo,4,,80954.jpg
188,10,Stuart,Dallas,Dallas,3,,87873.jpg
189,10,Patrick,Bamford,Bamford,4,,106617.jpg
190,10,Diego,Llorente,Llorente,2,,149915.jpg
191,10,Kalvin,Phillips,Phillips,3,,155405.jpg
192,10,Hélder Wander,Sousa de Azevedo e Costa,Costa,3,,165808.jpg
193,10,Tyler,Roberts,Roberts,3,,173821.jpg
194,10,Robin,Koch,Koch,2,,193645.jpg
195,10,Ian Carlo,Poveda-Ocampo,Poveda,3,,215460.jpg
196,10,Raphael,Dias Belloli,Raphinha,3,,219961.jpg
197,10,Jamie,Shackleton,Shackleton,3,,221610.jpg
198,10,Pascal,Struijk,Struijk,2,,222694.jpg
199,10,Illan,Meslier,Meslier,1,,437495.jpg
267,10,Jack,Harrison,Harrison,3,,221399.jpg
287,10,Daniel,James,James,3,,200617.jpg
463,10,Héctor Junior,Firpo Adames,Firpo,2,,443967.jpg
490,10,Kristoffer,Klaesson,Klaesson,1,,223081.jpg
550,10,Sam,Greenwood,Greenwood,4,,248937.jpg
551,10,Crysencio,Summerville,Summerville,3,,450070.jpg
552,10,Adam,Forshaw,Forshaw,3,,80179.jpg
562,10,Cody,Drameh,Drameh,2,,433590.jpg
563,10,Charlie,Cresswell,Cresswell,2,,492373.jpg
576,10,Liam,McCarron,McCarron,3,,464618.jpg
577,10,Joe,Gelhardt,Gelhardt,4,,462635.jpg
600,10,Nohan,Kenneh,Kenneh,3,,469249.jpg
601,10,Stuart,McKinstry,McKinstry,3,,473342.jpg
608,10,Leo Fuhr,Hjelde,Hjelde,2,,477547.jpg
624,10,Lewis,Bate,Bate,3,,450529.jpg
221,11,James,Milner,Milner,3,,15157.jpg
222,11,Jordan,Henderson,Henderson,3,,56979.jpg
223,11,Adrián,San Miguel del Castillo,Adrián,1,,60706.jpg
224,11,Joel,Matip,Matip,2,,60914.jpg
225,11,Thiago,Alcántara do Nascimento,Thiago,3,,61558.jpg
226,11,Xherdan,Shaqiri,Shaqiri,3,,68312.jpg
