id,minutes,yellow_cards,red_cards,penalties_missed,penalties_saved,goals_scored,assists,clean_sheets,goals_conceded,saves,own_goals
287,126,0,0,0,0,0,0,0,1,0,0
463,104,0,0,0,0,0,0,0,6,0,0
490,0,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0,0,0
221,90,1,0,0,0,0,0,1,0,0,0
222,163,0,0,0,0,0,0,1,1,0,0
223,0,0,0,0,0,0,0,0,0,0,0
224,270,0,0,0,0,0,0,2,1,0,0
225,25,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0
227,60,0,0,0,0,0,0,1,0,0,0
228,80,0,0,0,0,1,0,0,1,0,0
229,270,0,0,0,0,0,0,2,1,0,0
230,270,0,0,0,0,1,1,2,1,0,0
231,270,0,0,0,0,0,0,2,1,8,0
232,119,0,0,0,0,0,0,0,1,0,0
233,270,0,0,0,0,2,2,2,1,0,0
234,85,0,0,0,0,0,0,0,1,0,0
235,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0
237,270,0,0,0,0,0,1,2,1,0,0
238,1,0,0,0,0,0,0,0,0,0,0
239,162,0,0,0,0,0,0,2,0,0,0
240,187,0,0,0,0,2,0,2,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0
245,184,0,0,0,0,0,1,2,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0
506,187,0,0,0,0,0,0,1,1,0,0
553,0,0,0,0,0,0,0,0,0,0,0
33,254,1,0,0,0,1,1,2,1,0,0
249,135,0,0,0,0,0,0,1,0,0,0
250,248,1,0,0,0,1,0,2,1,0,0
251,11,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0
253,78,0,0,0,0,0,0,0,1,0,0
254,122,0,0,0,0,1,1,0,1,0,0
255,130,0,0,0,0,1,0,0,1,0,0
256,270,0,0,0,0,0,0,2,1,0,0
257,270,0,0,0,0,0,0,2,1,1,0
258,90,0,0,0,0,0,0,0,1,0,0
259,180,0,0,0,0,1,0,2,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0
261,147,0,0,0,0,0,1,1,0,0,0
262,270,0,0,0,0,0,1,2,1,0,0
263,170,0,0,0,0,1,3,2,0,0,0
264,56,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0
266,180,1,0,0,0,1,0,2,0,0,0
268,240,0,0,0,0,2,1,2,1,0,0
453,90,0,0,0,0,0,0,0,1,0,0
507,21,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0,0,0,0
269,37,0,0,0,0,0,0,0,0,0,0
270,270,0,0,0,0,0,0,1,2,10,0
271,106,0,0,0,0,0,0,0,1,0,0
272,254,2,0,0,0,0,5,1,2,0,0
273,270,1,0,0,0,0,0,1,2,0,0
274,255,1,0,0,0,1,0,1,2,0,1
275,270,1,0,0,0,0,0,1,2,0,0
276,4,0,0,0,0,0,0,0,0,0,0
277,270,2,0,0,0,3,0,1,2,0,0
278,91,0,0,0,0,0,0,0,1,0,0
279,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0
284,180,0,0,0,0,0,1,0,2,0,0
285,82,0,0,0,0,0,0,0,1,0,0
286,0,0,0,0,0,0,0,0,0,0,0
288,270,0,0,0,0,0,0,1,2,0,0
289,269,0,0,0,0,3,0,1,2,0,0
459,0,0,0,0,0,0,0,0,0,0,0
485,117,0,0,0,0,0,0,1,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0
510,1,1,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0,0
555,90,0,0,0,0,0,1,1,0,0,0
579,0,0,0,0,0,0,0,0,0,0,0
19,172,0,0,0,0,0,0,0,3,0,0
291,69,1,0,0,0,0,0,0,4,0,0
292,270,0,0,0,0,0,1,0,8,0,0
293,90,0,0,0,0,0,0,0,4,0,0
294,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0
296,242,1,0,0,0,2,0,1,6,0,0
297,0,0,0,0,0,0,0,0,0,0,0
298,27,0,0,0,0,0,1,0,1,0,0
299,180,1,0,0,0,0,0,0,4,0,0
300,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0
303,84,0,0,0,0,0,0,0,4,0,0
304,270,1,0,0,0,1,1,0,8,0,0
305,180,2,0,0,0,0,0,0,4,0,0
306,135,1,0,0,0,0,0,0,5,0,0
307,270,1,0,0,0,1,1,0,8,0,0
308,270,0,0,0,0,0,0,0,8,0,0
309,141,0,0,0,0,0,0,0,3,0,0
310,38,0,0,0,0,0,0,0,2,0,0
311,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0
465,257,0,0,0,0,0,0,0,8,0,0
513,270,0,0,0,1,0,0,0,8,8,0
514,0,0,0,0,0,0,0,0,0,0,0
145,258,0,0,0,0,0,0,0,10,0,0
290,90,0,0,0,0,0,0,0,2,0,0
313,0,0,0,0,0,0,0,0,0,0,0
314,270,0,0,0,0,0,0,0,10,4,1
315,224,0,0,0,0,1,0,0,8,0,0
316,0,0,0,0,0,0,0,0,0,0,0
317,152,0,0,0,0,0,0,0,6,0,0
318,135,0,0,0,0,0,0,0,5,0,0
319,270,0,0,0,0,0,0,0,10,0,0
320,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0
323,4,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0
325,265,2,0,0,0,0,0,0,10,0,0
326,270,0,0,0,0,0,0,0,10,0,0
327,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0
329,24,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0,0,0
449,256,0,0,0,0,0,0,0,10,0,0
456,270,0,0,0,0,0,0,0,10,0,0
457,135,0,0,0,0,0,0,0,5,0,0
471,252,1,0,0,0,0,1,0,9,0,0
515,45,0,0,0,0,0,0,0,3,0,0
516,43,0,0,0,0,0,0,0,2,0,0
528,0,0,0,0,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,0,0,0,0
332,124,0,0,0,0,0,0,0,2,0,0
333,0,0,0,0,0,0,0,0,0,0,0
334,270,0,0,0,0,0,0,0,6,7,0
335,256,0,0,0,0,0,0,0,4,0,0
336,39,0,0,0,0,0,0,0,1,0,0
338,270,1,0,0,0,0,0,0,6,0,0
339,0,0,0,0,0,0,0,0,0,0,0
341,270,1,0,0,0,1,0,0,6,0,0
342,101,1,0,0,0,0,0,0,2,0,0
343,45,0,0,0,0,0,0,0,1,0,0
344,0,0,0,0,0,0,0,0,0,0,0
345,250,0,0,0,0,0,2,0,5,0,0
346,10,0,0,0,0,0,0,0,1,0,0
347,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0
349,32,0,0,0,0,0,0,0,2,0,0
350,216,2,0,0,0,0,0,0,5,0,0
351,270,0,0,0,0,0,0,0,6,0,0
460,160,0,0,0,0,0,0,0,4,0,0
491,270,0,0,0,0,0,0,0,6,0,0
517,90,0,0,0,0,1,0,0,2,0,0
518,19,0,0,0,0,0,0,0,1,0,0
519,0,0,0,0,0,0,0,0,0,0,0
525,270,0,0,0,0,1,1,0,6,0,0
546,0,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0
353,270,0,0,0,0,0,0,3,0,12,0
355,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0
357,108,2,0,0,0,0,0,1,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0
359,248,0,0,0,0,2,0,3,0,0,0
360,7,0,0,0,0,0,0,0,0,0,0
361,270,0,0,0,0,0,0,3,0,0,0
362,178,1,0,0,0,0,0,2,0,0,0
363,270,1,0,0,0,1,0,3,0,0,0
364,0,0,0,0,0,0,0,0,0,0,0
365,269,1,0,0,0,0,0,3,0,0,0
366,1,0,0,0,0,0,0,0,0,0,0
367,270,1,0,0,0,0,0,3,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0
369,233,0,0,0,0,0,2,3,0,0,0
370,270,0,0,0,0,0,0,3,0,0,0
371,262,1,0,0,0,0,0,3,0,0,0
372,36,0,0,0,0,0,0,0,0,0,0
373,270,2,0,0,0,0,0,3,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0,0
487,2,0,0,0,0,0,0,0,0,0,0
494,1,0,0,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0,0,0,0,0
354,70,1,0,0,0,0,0,0,1,0,0
376,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0
378,21,0,0,0,0,0,0,0,2,0,0
379,204,0,0,0,0,0,0,0,5,0,0
380,23,0,0,0,0,0,0,0,1,0,0
381,187,0,0,0,0,0,1,0,3,0,0
382,0,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0
384,180,0,0,0,0,0,0,0,4,0,0
385,0,0,0,0,0,0,0,0,0,0,0
387,270,0,0,0,0,0,0,0,5,0,0
388,0,0,0,0,0,0,0,0,0,0,0
389,270,0,0,0,0,0,0,0,5,8,0
390,270,0,0,0,0,0,0,0,5,0,0
391,167,1,0,0,0,0,0,0,4,0,0
392,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0,0
396,90,0,0,0,0,0,0,0,1,0,0
397,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0,0
399,270,0,0,0,0,1,0,0,5,0,0
400,39,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0
